id,name,producerName,id,name,subscribersCount,data
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,4,Province e Città Metropolitane,14,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":14}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,5,Pubbliche Amministrazioni Centrali,8,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":8}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,7,Regioni e Province autonome,14,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":14}}"
1,Altre Pubbliche Amministrazioni locali,Agenzia per L'Italia Digitale,12,Stazioni Appaltanti e Gestori di pubblici servizi,11,"{""producerName"":""Agenzia per L'Italia Digitale"",""macroCategories"":{""id"":""12"",""name"":""Stazioni Appaltanti e Gestori di pubblici servizi"",""subscribersCount"":11}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",1,Altre Pubbliche Amministrazioni locali,3,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",5,Pubbliche Amministrazioni Centrali,2,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
1,Altre Pubbliche Amministrazioni locali,"Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura",7,Regioni e Province autonome,1,"{""producerName"":""Unione Italiana delle Camere di Commercio Industria, Artigianato e Agricoltura"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":1}}"
1,Altre Pubbliche Amministrazioni locali,Consiglio Nazionale Forense,1,Altre Pubbliche Amministrazioni locali,1,"{""producerName"":""Consiglio Nazionale Forense"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
1,Altre Pubbliche Amministrazioni locali,Consiglio Nazionale Forense,5,Pubbliche Amministrazioni Centrali,1,"{""producerName"":""Consiglio Nazionale Forense"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":1}}"
2,Aziende Ospedaliere e ASL,null,null,null,null,
3,Comuni,Comune di Torino,1,Altre Pubbliche Amministrazioni locali,1,"{""producerName"":""Comune di Torino"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":1}}"
3,Comuni,Comune di Torino,3,Comuni,2,"{""producerName"":""Comune di Torino"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Poggibonsi,3,Comuni,2,"{""producerName"":""Comune di Poggibonsi"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Trevenzuolo,3,Comuni,2,"{""producerName"":""Comune di Trevenzuolo"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":2}}"
3,Comuni,Comune di Bassano del Grappa,3,Comuni,1,"{""producerName"":""Comune di Bassano del Grappa"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Bassano del Grappa,6,Enti Nazionali di Previdenza ed Assistenza Sociale,1,"{""producerName"":""Comune di Bassano del Grappa"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":1}}"
