id,name,producerName,id,name,subscribersCount,macroCategories,data
3,Comuni,Comune di Poggio San Marcello,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Poggio San Marcello"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Orsenigo,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Orsenigo"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Rocca di Mezzo,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Rocca di Mezzo"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Porto Ceresio,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Porto Ceresio"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Chiavari,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Chiavari"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Vezzi Portio,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Vezzi Portio"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Premana,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Premana"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
3,Comuni,Comune di Colletorto,3,Comuni,1,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}","{""producerName"":""Comune di Colletorto"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":1}}"
4,Province e Città Metropolitane,null,null,null,null,null,
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,1,Altre Pubbliche Amministrazioni locali,3,"{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""1"",""name"":""Altre Pubbliche Amministrazioni locali"",""subscribersCount"":3}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,3,Comuni,128,"{""id"":""3"",""name"":""Comuni"",""subscribersCount"":128}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""3"",""name"":""Comuni"",""subscribersCount"":128}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,4,Province e Città Metropolitane,1,"{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""4"",""name"":""Province e Città Metropolitane"",""subscribersCount"":1}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,5,Pubbliche Amministrazioni Centrali,4,"{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":4}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""5"",""name"":""Pubbliche Amministrazioni Centrali"",""subscribersCount"":4}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,6,Enti Nazionali di Previdenza ed Assistenza Sociale,2,"{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""6"",""name"":""Enti Nazionali di Previdenza ed Assistenza Sociale"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,7,Regioni e Province autonome,2,"{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""7"",""name"":""Regioni e Province autonome"",""subscribersCount"":2}}"
5,Pubbliche Amministrazioni Centrali,Ministero dell'Interno,9,Scuole,1,"{""id"":""9"",""name"":""Scuole"",""subscribersCount"":1}","{""producerName"":""Ministero dell'Interno"",""macroCategories"":{""id"":""9"",""name"":""Scuole"",""subscribersCount"":1}}"
